url,id,title,label,high_label,repo,delay_days
https://www.github.com/lukso-network/docs/commit/1b47aac1a9c969dbfd037eda1c4b0d8d277c65d0,856,Bump @docusaurus/module-type-aliases from 3.1.0 to 3.1.1,groups:family,Grouping dependencies,lukso-network/docs,0.2180787037037037
https://www.github.com/strvcom/code-quality-tools/commit/8e40dbc2c55e5905213c4b06930f306688aa065d,196,chore: bump path-parse from 1.0.6 to 1.0.7,others,Others,strvcom/code-quality-tools,27.08118055555556
https://www.github.com/mrhenry/core-web/commit/b7f3d56ed6b883b45f5aca45d3b3aaf91d05ef49,741,Bump @babel/preset-env from 7.15.0 to 7.15.4,groups:family,Grouping dependencies,mrhenry/core-web,2.3932291666666665
https://www.github.com/LibreSign/libresign/commit/5902e9c4a6cd3c6fa9d02953100cbf1e9970ac8f,2098,Chore(deps): Bump @nextcloud/moment from 1.2.2 to 1.3.0,others,Others,LibreSign/libresign,6.463865740740741
https://www.github.com/Talend/ui/commit/2679466ce0b6b272b3b18971990570745aad7753,4480,chore(deps): bump decode-uri-component from 0.2.0 to 0.2.2,others,Others,Talend/ui,28.166875
https://www.github.com/Chia-Network/cadt/commit/083cf6bb35ea51b63d2c9dd6809c4eff4be0afef,1206,chore(deps-dev): bump @babel/register from 7.25.7 to 7.25.9,groups:family,Grouping dependencies,Chia-Network/cadt,3.155277777777778
https://www.github.com/asdf-vm/actions/commit/f2e8edb0852a0cc7e0de8e7f30c2b660be13e4e9,310,Bump eslint from 7.20.0 to 7.26.0,groups:family,Grouping dependencies,asdf-vm/actions,671.8551273148148
https://www.github.com/pinojs/pino-opentelemetry-transport/commit/b4ac67dbaea26e647c58e58c98a758e3234b0d70,48,Bump @opentelemetry/exporter-logs-otlp-grpc from 0.42.0 to 0.43.0,groups:family,Grouping dependencies,pinojs/pino-opentelemetry-transport,3.735335648148148
https://www.github.com/thales-markets/contracts/commit/c801acb88149ad6e6a045977188dd071424fc823,131,Bump cross-fetch from 2.2.3 to 2.2.6,others,Others,thales-markets/contracts,0.0813888888888888
https://www.github.com/torusresearch/torus-website/commit/7f1b7e79df25f5ba1577da672b71d7f5baedf304,2122,Bump eslint-plugin-simple-import-sort from 7.0.0 to 8.0.0,groups:dev,Grouping dependencies,torusresearch/torus-website,0.0035532407407407
